song_no,song_name,song_label,song_feature
11,Butterfly,117.45383522727273,"[1.3591290076462772, 0.47708847000944166, 0.5779109735777637, 0.3073971300148391, 0.46337496674247936, 0.6676262762495617, 0.9300461094704459, -0.7041752595435027, -1.1465083005317622, 1.0548285962055013, -0.615153584175708, 1.1147936967712315, 1.1341673356293405, 0.7992623803425843, 1.1478604449830418, 0.5405162169856322, 1.028331346458124, 1.2790040504484084, 0.3518832947702481, 0.15178958162862113, 0.22494127137922887, 1.0598322672297604, 0.550949812179118, 0.5565020334222466, 0.3009605419701483, 0.3037420229612227]"
12,Can't Hold Us,143.5546875,"[0.6434146923499714, 0.8963973117614082, 0.3681451805334252, 0.36872725018103836, 0.37299482240646803, 0.09017273895002946, 0.9438594692638503, -0.36075045169122105, -1.014511781886687, 0.0963634134653249, 0.5511141124145807, -0.3930811986706958, 0.06413022990594752, 0.507712015816847, -0.8092432694240144, 0.8746774654354679, 0.6841834385254348, 0.6788387549799205, 1.706267815086521, 0.5131692194061642, 0.7443848638463135, 0.44844275724152033, -0.3581202696931848, 0.672591866016917, 0.7489260476771412, 1.0911293675208957]"
13,Cheap Thrills,89.10290948275862,"[0.9366896648249017, 0.8179727440050495, 1.1796132831432748, 1.2620086201565246, 1.2518519328553257, 1.0042895614673384, 0.9657784847897822, -1.0624464836382435, 0.10876270445745559, 0.931243142956282, 0.938062168340734, 0.28618712979307714, 2.2049736817392405, -0.6213368372153164, 1.171181780326343, 0.38776032147206413, -0.2714089368401662, 0.12601820485755605, -0.7882924823045884, 0.41198718902559184, 0.5742168220953624, 1.1642029028096403, 2.0006410174279967, 3.465132254016528, 1.8069758053713172, 2.296814699002853]"
14,Dance Of The Sugar Plum Fairy,143.5546875,"[-0.26084719650235216, -0.011222956304924347, -0.49954243553642436, -0.5657746922800606, -0.5276933640583311, -0.05665307930449349, -0.015032874668485472, 0.23932591836598488, -1.141563903953736, 0.6578239737596474, 0.01722189124634217, -0.357959845531072, 0.4326662067395409, 0.974403935727288, 1.4581717282216367, 0.8595194539513712, 0.18296003176921746, 0.14028962942051545, 0.6543838013832015, 0.9045984654209106, 1.371378601401618, 1.4426449917050894, 1.21904432592665, 1.572284993158231, 0.5733045756996633, 0.6917574660300967]"
15,Dancin (Krono Remix),117.45383522727273,"[0.4101225696144651, 1.1051880033452008, -0.57504900119004, -0.35649597265909166, -0.3416060886904253, -0.6866499011465184, 0.25377255370874613, 0.6187233222877573, -0.026925310119655883, 0.1461314171377383, 0.01331745512062609, -0.7264708819837289, 0.6024265973928269, 1.4917355605390712, 0.15728971117272614, 0.8114526478641335, 1.7622576241161603, 0.10856379569672263, 0.846643578235564, 1.4525094923157766, 1.4601073186996907, 1.3327688166747187, -0.05927012289319462, 0.5031632436093391, 1.054113317104164, 1.060389865240072]"
16,Dream It Possible,117.45383522727273,"[-1.7208988983625055, -1.61375485942523, -0.05994317306136179, 0.042497843279107064, -0.17114251442217965, -0.030591610171417597, -1.1099769138936468, 0.2153637162749528, -0.44218819928502695, -1.1123392302422626, -0.25476159379683994, -2.334031650903132, -1.5768893369267898, -2.6116686440750088, -0.6979655622329852, -1.7748097346376999, -1.1990958684487067, -0.8473512705578147, -2.764271320647715, 0.4074403734615556, -2.5274865865201153, -2.0849223085433786, -0.6973771274551487, -0.8264089420591348, -2.071148870233425, -0.1595476545958215]"
17,Enchanted Forest,117.45383522727273,"[-0.13264683095125057, -1.1701371490347325, -2.1487677015161233, -2.2085385615668702, -2.128405018985182, -1.8338998570900935, -1.7580546532799526, 2.517240278264938, 1.520627507384785, 0.14568130829283196, 1.3204204052084927, 0.22986863525611947, -2.6881228636895695, 0.026893383849285257, 0.887921863247786, 1.9260893797728111, 0.6734945323478096, 0.17882778551808837, 0.6098082898602276, -0.6448041009970383, 0.9039375262056427, 0.0011923657692813868, -0.5636621000235466, -0.10138323145333644, 1.7514846350352509, 2.717062049746471]"
18,fiиorza,112.34714673913044,"[0.5230774405399945, 1.6414700349592413, 1.6400247020449095, 1.3272216387879416, 1.5484151706335314, 2.1039495025031294, 1.807208331870541, -1.1569148807544474, 0.11446740860378482, -0.06424825400798356, -0.4543043713779602, -0.48038724552302386, -0.04855572871345281, 0.2049255918169741, 1.3815116401994618, 0.8066113948426787, 0.06868128681772245, 0.5811349175271664, 0.439680240831642, 0.3346830881175206, 0.36485690606802934, 1.376985434065698, 1.1038694696613762, 1.0400368037155394, 0.3030275291151249, -0.0626499455316664]"
19,For Forever,117.45383522727273,"[0.23522467765362404, -0.22816283686173788, -1.3463529204385105, -1.0933116867541706, -1.309305853901992, -1.1728371732845133, -0.49963523892151757, 1.1921413745353284, 0.46900853215567356, 0.42151662968989695, -0.0987717217977301, -0.2204380543194631, 0.967454845406516, 0.7458623722048165, -0.1165133831858471, -0.2889848993941715, 0.22882028105351956, -0.0718175143117433, -0.37208066955560776, -0.21175931645833102, -0.31154748244891595, 0.06097211063375372, 0.2566163633951917, -0.5324013042065038, -0.12745150791331292, 0.005939481876265571]"
20,Forever,129.19921875,"[0.9867997174285181, 0.9462219140767443, 1.8903738755217256, 1.3407509343817912, 1.7179792178070235, 1.4718055064387194, 1.3139056162344382, -1.8479879252982054, -1.0531731067067467, -0.7630493532591625, -0.03199641454249881, 1.0010018092429982, 1.0904296610881772, 1.378764952535542, 1.3677234272544845, 1.305429175799438, 0.9979437894095361, 0.67814149734474, 0.6791932909687715, 1.0581930228770213, 0.8626654915538443, 1.1626707088824493, 1.2295626704470792, 1.0648400182427562, 0.38753150111976653, 0.7329975084476509]"
